"date","Pixel16500453","Pixel16470453","Pixel16500454","Pixel16470454"
"15-Nov-00",0.38808744,0.088546512,0.624829632,0.235627848
"16-Nov-00",17.76126336,14.524396416,17.278131,16.917593472
"17-Nov-00",26.641797072,29.18678856,26.566886904,27.920974728
"18-Nov-00",0,0,0,0
"19-Nov-00",0,0,0,0
"20-Nov-00",0.2347524,0,0.21949608,0
"21-Nov-00",0.96112356,0.725627304,2.011944648,0.699965856
"22-Nov-00",1.651925136,1.781011272,4.007159472,1.722459744
"23-Nov-00",20.546161656,20.806164264,19.511909016,20.839013088
"24-Nov-00",0.994760952,5.070812352,1.125180696,2.476020984
"25-Nov-00",2.919542664,2.886239112,2.728047432,2.759920488
"26-Nov-00",0.330141096,0.169164648,0.292196016,0.207597912
"27-Nov-00",0,0.010553232,0,0.010300728
"28-Nov-00",1.69740684,1.814913696,1.53781272,1.749355128
"29-Nov-00",1.443062064,1.203199896,2.850733632,1.186753656
"30-Nov-00",1.525594008,1.244611584,2.430699,2.763618528
"01-Dec-00",4.607122056,5.95527756,5.07469476,4.318664424
"02-Dec-00",0.97449168,0.930416208,0.3696882,1.035394008
"03-Dec-00",0.08362548,0.223086984,0.099623208,0.102162816
"04-Dec-00",0.807667752,0.189389664,0.67027164,0.229727304
"05-Dec-00",3.953718792,5.574045888,4.597664232,5.857577928
"06-Dec-00",1.80040152,1.424585856,2.127471504,1.958706552
"07-Dec-00",35.277239808,38.69452572,36.826786992,40.14455796
"08-Dec-00",6.981018312,6.241515408,7.729088544,5.667972576
"09-Dec-00",0.35401296,0.102559176,0.291941784,0.151968312
"10-Dec-00",1.234960656,2.771763336,2.174795688,1.484870376
"11-Dec-00",0,0,0.120550416,0.0300216
"12-Dec-00",0,0.4642152,0,0.9285138
"13-Dec-00",2.090774592,0,0,0
"14-Dec-00",0,0,0,0
"15-Dec-00",0,0,0,0
"16-Dec-00",0,0,0,0
"17-Dec-00",0,0,0,0
"18-Dec-00",1.394408136,1.925110272,1.397253864,1.902834
"19-Dec-00",0.450971928,0.691950288,0.329137128,0.272903448
"20-Dec-00",0.434170392,0.334914096,0.628358328,0.368906088
"21-Dec-00",0.147653256,0,0.140458368,0.120585912
"22-Dec-00",4.339477656,5.629132752,4.475745312,2.467838112
"23-Dec-00",5.454816336,4.244264256,8.569009056,5.59791684
"24-Dec-00",33.537508968,25.72703076,23.080654632,19.594232088
"25-Dec-00",0.457890312,3.093896976,1.498648344,0.567263016
"26-Dec-00",1.140479112,1.577112264,1.304336256,1.909098384
"27-Dec-00",15.250360968,12.282830712,13.052322864,10.619698752
"28-Dec-00",31.796999928,35.276865,34.882006656,37.519675248
"29-Dec-00",7.075693848,7.47141624,7.22385192,8.021725416
"30-Dec-00",9.510372888,8.165546904,8.73769356,5.716170072
"31-Dec-00",8.92093992,9.78182244,9.571432824,11.660734176
"01-Jan-01",20.955177792,18.9080286,21.418087008,16.458384984
"02-Jan-01",1.796996712,1.709782536,2.545868928,3.154957296
"03-Jan-01",1.541932224,1.223374656,1.101913512,0.976278384
"04-Jan-01",1.11623088,2.44234032,1.482738648,0.883006008
"05-Jan-01",0.348576216,2.607300096,2.577769512,2.417527008
"06-Jan-01",2.178109992,0.537397464,0.582519384,0.342611328
"07-Jan-01",5.177297832,4.896707664,5.224350936,5.231015688
"08-Jan-01",2.260921416,1.563008856,2.930015088,2.128571928
"09-Jan-01",13.377712728,14.630411616,12.399480336,14.890070904
"10-Jan-01",3.030292512,2.815272696,3.8462838,2.618721312
"11-Jan-01",1.223449416,1.841723976,1.4258886,1.888358664
"12-Jan-01",4.694878224,3.422513376,4.746878376,4.059664608
"13-Jan-01",3.027748344,8.77369236,3.175363536,2.896093896
"14-Jan-01",9.669955728,17.382189264,16.786345488,16.824786192
"15-Jan-01",11.362152096,12.367107864,9.864960912,9.898771056
"16-Jan-01",6.76935912,5.580110184,8.188457256,7.46231532
"17-Jan-01",9.14896344,8.347294104,9.098316912,8.889583824
"18-Jan-01",32.332815168,27.997741704,31.565594664,27.601318368
"19-Jan-01",8.42118216,7.353601464,8.424412248,8.755575648
"20-Jan-01",13.299950112,11.902028568,13.797354696,12.173463816
"21-Jan-01",11.14052868,12.98661948,12.308385384,12.351819984
"22-Jan-01",1.988885712,2.945559384,0.484429752,0.265420392
"23-Jan-01",0.076832952,0,0.095206272,0.055956552
"24-Jan-01",7.545161952,6.305331936,7.437961584,6.225939984
"25-Jan-01",6.808984272,5.406497592,7.434606312,6.049753896
"26-Jan-01",1.177941264,0.53629548,1.636173072,1.072393488
"27-Jan-01",1.273895424,0.439954032,1.477403184,0.583832736
"28-Jan-01",6.71149992,4.171643616,6.700020072,4.65652764
"29-Jan-01",1.579495128,1.356542232,1.906717488,1.911244152
"30-Jan-01",3.080407272,1.627366488,1.218912888,2.342590032
"31-Jan-01",3.809336544,1.875613152,3.742631088,1.818597984
"01-Feb-01",0.168330888,0.170545104,0,0.169179528
"02-Feb-01",0.312523464,0.32184288,1.023382824,0.366863424
"03-Feb-01",0.276254352,0.261898416,0.290021256,0.33317004
"04-Feb-01",0.30186408,0.368438664,0.753688488,0.305502144
"05-Feb-01",14.201182368,11.6414616,15.974473008,13.586474424
"06-Feb-01",0.375005688,0.312439248,0.27746124,0.229653312
"07-Feb-01",1.716642024,1.25574804,2.106770208,1.276252896
"08-Feb-01",0.677052936,0.156968232,0.89630484,0.149842104
"09-Feb-01",0.768455568,0.593576664,0.690942672,0.530838264
"10-Feb-01",2.9219184,0,0,0
"11-Feb-01",2.45628888,2.138147952,5.24866212,2.885580192
"12-Feb-01",1.13355348,1.237553088,0.819033792,1.003142064
"13-Feb-01",0.683676264,0.779324496,0.730611216,0.950141688
"14-Feb-01",11.322189336,10.687616592,10.120319376,8.882834664
"15-Feb-01",6.072278736,7.00291944,5.84846736,6.601693872
"16-Feb-01",1.172442456,0.695504304,0.761563368,0.689097192
"17-Feb-01",0.213765048,0.362117688,0.217838016,0.733821192
