"date","Pixel15540521","Pixel15570522","Pixel15570521","Pixel15600520","Pixel15630520","Pixel15630519","Pixel15660518","Pixel15630518","Pixel15600519","Pixel15570519","Pixel15600518","Pixel15570518","Pixel15540518","Pixel15540519","Pixel15570520","Pixel15540520"
"05-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07-Jul-00",0,1.185369552,1.240914432,0.915285504,0.71140032,0.661632024,0.74460276,0.593827224,0.863106336,0.582964416,0.757269144,0.467889312,1.927426992,0,0.752972952,0
"08-Jul-00",2.465977728,0.903455712,0.86462616,5.838644736,9.435351144,5.06626332,1.159589136,2.603971128,2.875247592,2.765024544,2.251905264,1.402011936,0.416007048,3.528346536,4.740302688,2.678186232
"09-Jul-00",0.302861568,0.679190496,0.489876744,0.845912832,1.808116248,3.233492016,1.266938112,2.806434264,3.71457588,0.654563208,1.752544824,0.387925512,0.867031656,0.30522132,0.469099704,1.898084712
"10-Jul-00",3.266527536,3.791347152,3.804039,2.837996712,2.738713512,3.382788072,4.303361544,3.722170104,4.416204216,1.807188936,2.828620248,2.325831048,1.59168756,1.800420456,5.956356168,2.230125
"11-Jul-00",0.970632528,1.012259784,0.861590352,1.833494256,0.40143,1.071274896,0.831281136,1.401794136,1.729781448,0.463562016,2.472465456,4.203185688,3.061121472,0.919934112,1.30960572,1.529572608
"12-Jul-00",0.305065704,0.447433992,0.58766028,0.903770784,2.480561088,2.517004608,3.67989384,1.783122528,0.883724304,0.507431832,1.207800768,0.137694528,0,0.326140152,0.967629336,0.521421576
"13-Jul-00",0,0,0,0,0,0,0,0,0,0.010670472,0.01257708,0.02610984,0.026682168,0.010905744,0,0
"14-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-Jul-00",0,0,0,0,0,0,0.02019588,0,0,0,0,0,0,0,0,0
"18-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-Jul-00",0,0.406327896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-Jul-00",0.035307384,0.030030672,0.016120176,0.014380176,0,0.015260736,0,0,0.045602328,0.056525952,0.016018392,0.019859928,0.058528872,0.057865704,0.017804592,0.052459848
"22-Jul-00",0.243537768,0.07020756,0.245677944,0.259530576,0.0199956,0.1664196,0.202142184,0.213136056,0.365423064,0.28442688,0.355066728,0.259794432,0.251084856,0.1321914,0.295397352,0.284692392
"23-Jul-00",0,0,0,0.229376568,0.013109112,0.039206664,0,0.03680508,0.027413184,0.036789504,0.034948752,0.163480944,0.09593688,0.01015692,0.0109392,0.032411592
"24-Jul-00",0.317684928,0.254245464,0.352671912,0.681107544,0.831412992,1.095531552,1.188515952,1.211166768,0.860168616,0.813124896,0.863577864,0.904457856,0.93800784,0.930776496,0.623879184,0.54444288
