"date","Pixel15810514","Pixel15810515","Pixel15840512","Pixel15750512","Pixel15780512","Pixel15810512","Pixel15810516","Pixel15750516","Pixel15750515","Pixel15780517","Pixel15750514","Pixel15720513","Pixel15780516","Pixel15780515","Pixel15750513","Pixel15780513","Pixel15810513","Pixel15780514"
"13-Nov-20",0.637254912,0.626156856,0.531920544,0.92047128,0.652633848,0.565014696,0.3806586,1.370804616,1.279322496,1.088813688,1.17302208,0.731061552,0.54544392,0.839576664,0.974352312,0.677642544,0.628839024,0.936722328
"14-Nov-20",0.142016112,0.021851832,0.2474844,0.06136872,0.325542312,0.487647504,0.321303672,0,0.057413904,0.1029258,0.185719488,0.210199224,0.011923488,0.251653392,0.147926736,0,0.245191944,0.029326488
"15-Nov-20",4.218487848,2.748552192,4.350533712,2.568093888,3.630308736,4.759335648,7.988418816,0,2.042412408,4.41213012,2.172671016,1.045825224,7.605126144,2.314225128,2.448977184,3.714277992,4.510932336,3.762980808
"16-Nov-20",0.779636184,1.146208224,0.80596992,1.25576556,0.4108842,0.206119344,0.992009904,0.76835928,1.31185188,0.8085486,1.252921968,0.99652488,1.02008208,1.4182662,1.015364088,0.756859752,0.153227112,1.18949004
"17-Nov-20",0.12746004,0,0.19684872,0.178806096,0.385647888,0.362617824,0,0,0.039161016,0,0.013531032,0.146187552,0,0,0.104070936,0.272165664,0.249305544,0
"18-Nov-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Nov-20",3.79947924,2.946251208,9.645119904,3.5833608,11.117383008,7.200881472,3.301655184,1.990789344,3.546078096,2.346036144,2.976193248,1.05012444,3.493600128,3.608020296,3.442936776,5.970085152,5.332725048,5.261700864
"20-Nov-20",11.643675336,10.712425224,11.832082272,8.01227688,9.789062976,13.161859992,10.96332192,5.001952896,4.27248324,8.38369632,5.544073824,5.794423704,8.019017448,8.399482008,6.714911688,10.33898736,12.06914664,7.849859472
"21-Nov-20",0.73867536,1.009576776,0.544673544,0,0.027401856,0.545081592,0.041032296,0.286167456,0.921566064,0.158402952,0.258744528,0,0.391417128,0.990754176,0.052119216,0.129067368,0.531445512,1.298110848
"22-Nov-20",2.956295376,2.896937184,2.220255912,1.901903088,2.350313376,2.4129864,2.294010576,3.90933144,3.691336152,3.465671544,1.830620712,3.074703096,2.1519168,2.581246368,1.83620112,0.799789392,1.62732036,1.890593472
